resolusi,tinggi,lebar,total_sel,kode_kelas,nama_kelas,jumlah_sel,persen,sumber
213x424,213,424,90312,0,NoData,9544,10.567809371955,asli
213x424,213,424,90312,5,mangrove,12631,13.985959783860395,asli
213x424,213,424,90312,13,non-hutan lain,724,0.8016653379395873,asli
213x424,213,424,90312,21,pertanian lain,16434,18.196917353175657,asli
213x424,213,424,90312,31,tambak,20462,22.657011249889273,asli
213x424,213,424,90312,33,air,1179,1.3054743555673665,asli
213x424,213,424,90312,35,kelas 35,21,0.02325272389051289,asli
213x424,213,424,90312,40,sawah,29083,32.20280804322792,asli
213x424,213,424,90312,76,rawa gambut,234,0.25910178049428645,asli
32x64,32,64,2048,0,NoData,219,10.693359375,data\raw\KualaLupak.tif
32x64,32,64,2048,5,mangrove,292,14.2578125,data\raw\KualaLupak.tif
32x64,32,64,2048,13,non-hutan lain,5,0.244140625,data\raw\KualaLupak.tif
32x64,32,64,2048,21,pertanian lain,334,16.30859375,data\raw\KualaLupak.tif
32x64,32,64,2048,31,tambak,496,24.21875,data\raw\KualaLupak.tif
32x64,32,64,2048,33,air,13,0.634765625,data\raw\KualaLupak.tif
32x64,32,64,2048,40,sawah,688,33.59375,data\raw\KualaLupak.tif
32x64,32,64,2048,76,rawa gambut,1,0.048828125,data\raw\KualaLupak.tif
48x96,48,96,4608,0,NoData,490,10.633680555555555,data\raw\KualaLupak.tif
48x96,48,96,4608,5,mangrove,665,14.43142361111111,data\raw\KualaLupak.tif
48x96,48,96,4608,13,non-hutan lain,21,0.4557291666666667,data\raw\KualaLupak.tif
48x96,48,96,4608,21,pertanian lain,768,16.666666666666664,data\raw\KualaLupak.tif
48x96,48,96,4608,31,tambak,1083,23.502604166666664,data\raw\KualaLupak.tif
48x96,48,96,4608,33,air,46,0.9982638888888888,data\raw\KualaLupak.tif
48x96,48,96,4608,35,kelas 35,1,0.021701388888888888,data\raw\KualaLupak.tif
48x96,48,96,4608,40,sawah,1527,33.13802083333333,data\raw\KualaLupak.tif
48x96,48,96,4608,76,rawa gambut,7,0.15190972222222224,data\raw\KualaLupak.tif
64x128,64,128,8192,0,NoData,867,10.58349609375,data\raw\KualaLupak.tif
64x128,64,128,8192,5,mangrove,1163,14.19677734375,data\raw\KualaLupak.tif
64x128,64,128,8192,13,non-hutan lain,46,0.5615234375,data\raw\KualaLupak.tif
64x128,64,128,8192,21,pertanian lain,1430,17.4560546875,data\raw\KualaLupak.tif
64x128,64,128,8192,31,tambak,1898,23.1689453125,data\raw\KualaLupak.tif
64x128,64,128,8192,33,air,83,1.01318359375,data\raw\KualaLupak.tif
64x128,64,128,8192,35,kelas 35,2,0.0244140625,data\raw\KualaLupak.tif
64x128,64,128,8192,40,sawah,2687,32.80029296875,data\raw\KualaLupak.tif
64x128,64,128,8192,76,rawa gambut,16,0.1953125,data\raw\KualaLupak.tif
