resolusi,skenario_biaya,anggaran,timesteps,seeds,metode,iic_awal,iic_akhir,peningkatan_iic,std_peningkatan_iic,biaya_terpakai,iic_per_unit,rata_sel_ditanam,rata_n_petak,rata_petak_max,invalid_action_rate,training_time_detik
32x64,1:2,20,0,,Greedy Naif (Delta IIC),0.1056832215374266,0.140129119265075,0.0344458977276484,,20.0,0.0017222948863824,10.0,19.0,127.0,0.0,0.0
32x64,1:2,20,0,,Greedy Cost (Delta IIC/Cost),0.1056832215374266,0.140129119265075,0.0344458977276484,,20.0,0.0017222948863824,10.0,19.0,127.0,0.0,0.0
32x64,1:2,20,0,,Bridge Planner,0.1056832215374266,0.140129119265075,0.0344458977276484,,20.0,0.0017222948863824,10.0,19.0,127.0,0.0,0.0
48x96,1:2,45,0,,Greedy Naif (Delta IIC),0.1052085712728545,0.1278697656289162,0.0226611943560617,,45.0,0.0005035820968013,25.0,33.0,288.0,0.0,0.0
48x96,1:2,45,0,,Greedy Cost (Delta IIC/Cost),0.1052085712728545,0.1348730854994321,0.0296645142265775,,44.0,0.0006741935051494,28.0,33.0,286.0,0.0,0.0
48x96,1:2,45,0,,Bridge Planner,0.1052085712728545,0.1352023396974465,0.029993768424592,,45.0,0.0006665281872131,28.0,33.0,280.0,0.0,0.0
64x128,1:2,80,0,,Greedy Naif (Delta IIC),0.1009545622739788,0.1193453278999578,0.018390765625979,,80.0,0.0002298845703247,43.0,53.0,516.0,0.0,0.0
64x128,1:2,80,0,,Greedy Cost (Delta IIC/Cost),0.1009545622739788,0.1287912394503731,0.0278366771763943,,79.0,0.0003523630022328,54.0,49.0,537.0,0.0,0.0
64x128,1:2,80,0,,Bridge Planner,0.1009545622739788,0.1277198525091531,0.0267652902351743,,79.0,0.0003388011422173,54.0,52.0,516.0,0.0,0.0
48x96,1:2,45,10000,0.0,MaskablePPO,0.1052085712728545,0.1202439173316479,0.0150353460587934,,45.0,0.0003341188013065,23.0,38.0,277.0,0.0,113.39015889167786
48x96,1:2,45,0,,Random Valid Action,0.1052085712728545,0.1146636951513221,0.0094551238784675,0.0043156794968738,45.0,0.0002101138639659,23.25,40.9,263.25,0.0,0.0
48x96,1:2,45,50000,0.0,MaskablePPO,0.1052085712728545,0.136867022312422,0.0316584510395674,,45.0,0.0007035211342126,26.0,32.0,300.0,0.0,661.7730848789215
48x96,1:2,45,50000,1.0,MaskablePPO,0.1052085712728545,0.1359389296240233,0.0307303583511688,,45.0,0.0006828968522481,24.0,35.0,311.0,0.0,595.9968998432159
48x96,1:2,45,50000,2.0,MaskablePPO,0.1052085712728545,0.1358596612542111,0.0306510899813565,,45.0,0.000681135332919,24.0,35.0,294.0,0.0,710.7323641777039
48x96,1:2,45,100000,0.0,MaskablePPO,0.1052085712728545,0.137652944149999,0.0324443728771444,,45.0,0.0007209860639365,25.0,33.0,311.0,0.0,1479.335192680359
48x96,1:2,45,100000,1.0,MaskablePPO,0.1052085712728545,0.1379882574747838,0.0327796862019293,,45.0,0.0007284374711539,25.0,31.0,314.0,0.0,1414.2066938877106
48x96,1:2,45,100000,2,MaskablePPO,0.10520857127285455,0.1372249011995353,0.03201632992668078,,45.0,0.0007114739983706838,25.0,31.0,299.0,0.0,1177.0473759174347
